roi,metric,n,ICC,CoV,mean_v1,mean_v2,BA_diff
WM,FA,44,0.8730141463882228,0.00530361152542587,0.5723939443176443,0.5720682713118467,0.0003256730057976463
WM,MD,44,0.6140355112620804,0.016741186039091197,0.0004852984215672636,0.0004891676600726152,-3.869238505351611e-06
WM,MK,44,0.6276297295855066,0.011191383224080599,1.0863891514864834,1.0797926187515259,0.006596532734957608
WM,alpha_persistence,44,0.08031714388116627,0.03560455528486177,1.9463830684774712,1.9485472453022075,-0.002164176824736201
GM,FA,44,0.8163904062194685,0.009231926472569799,0.17387660355730492,0.17445610666816885,-0.0005795031108639457
GM,MD,44,0.7632395135707282,0.015891250324872954,0.0006699306607267565,0.0006779376549688591,-8.006994242102586e-06
GM,MK,44,0.6121926861478475,0.018964783125812443,0.7361363429914821,0.7280007343400609,0.008135608651421287
GM,alpha_persistence,44,0.5504608409935225,0.05040815140405645,1.0327041039564053,1.01753147896461,0.015172624991795365
CSF,FA,44,0.41203610137164853,0.06864107150844305,0.06781547694382342,0.07002535242248666,-0.0022098754786632276
CSF,MD,44,0.7306178699366054,0.044452644703046204,0.0015027531507340345,0.0015364537512968209,-3.370060056278651e-05
CSF,MK,44,0.8600582577591483,0.020344676252809377,0.44723965430801566,0.44418691166422586,0.0030527426437898116
CSF,alpha_persistence,44,0.6344179494386283,0.0897784884603788,0.8469189995473981,0.8057795677291921,0.041139431818205764
CC,FA,44,0.8412774017071876,0.0056968869791388325,0.7704547630114988,0.7693469741127708,0.0011077888987281106
CC,MD,44,0.6841641651484098,0.02940786923612809,0.00044014612847769803,0.00044680048978824,-6.654361310541969e-06
CC,MK,44,0.44303695571390106,0.03125561183433674,1.0695260031656786,1.0676984516057102,0.0018275515599684281
CC,alpha_persistence,44,0.29424990000022566,0.048297453064959285,2.1852072129358926,2.2250050529714986,-0.03979784003560597
